host,issue_id,severity,issue,finding,remediation
229.79.197.79,VULN-03810,MEDIUM,config_issue,Misconfig found,Restrict port
197.171.123.65,VULN-03811,LOW,open_port,Open port exposed,Fix config
252.214.30.168,VULN-03812,HIGH,open_port,Weak cipher detected,Fix config
16.33.108.229,VULN-03813,HIGH,weak_cipher,Open port exposed,Restrict port
10.8.96.113,VULN-03814,CRITICAL,weak_cipher,Weak cipher detected,Fix config
143.214.250.183,VULN-03815,HIGH,config_issue,Misconfig found,Restrict port
144.17.220.1,VULN-03816,CRITICAL,config_issue,Open port exposed,Apply patch
61.110.74.251,VULN-03817,HIGH,weak_cipher,Open port exposed,Apply patch
250.57.49.109,VULN-03818,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
246.48.231.78,VULN-03819,LOW,weak_cipher,Weak cipher detected,Fix config
149.203.31.82,VULN-03820,CRITICAL,config_issue,Weak cipher detected,Restrict port
61.220.98.22,VULN-03821,HIGH,weak_cipher,Misconfig found,Restrict port
103.85.119.228,VULN-03822,LOW,weak_cipher,Misconfig found,Fix config
78.182.73.229,VULN-03823,HIGH,config_issue,Open port exposed,Fix config
88.116.29.24,VULN-03824,LOW,weak_cipher,Open port exposed,Restrict port
32.67.2.208,VULN-03825,MEDIUM,config_issue,Weak cipher detected,Fix config
36.77.161.23,VULN-03826,CRITICAL,weak_cipher,Open port exposed,Restrict port
238.98.188.58,VULN-03827,HIGH,config_issue,Open port exposed,Restrict port
242.150.224.207,VULN-03828,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
159.66.156.182,VULN-03829,LOW,open_port,Misconfig found,Restrict port
87.75.10.141,VULN-03830,HIGH,open_port,Weak cipher detected,Fix config
153.43.164.237,VULN-03831,CRITICAL,weak_cipher,Weak cipher detected,Fix config
19.3.41.101,VULN-03832,LOW,config_issue,Weak cipher detected,Apply patch
136.227.195.153,VULN-03833,HIGH,open_port,Open port exposed,Apply patch
49.1.53.148,VULN-03834,HIGH,config_issue,Misconfig found,Fix config
82.252.138.110,VULN-03835,CRITICAL,config_issue,Misconfig found,Fix config
220.47.235.248,VULN-03836,LOW,config_issue,Weak cipher detected,Fix config
187.238.67.213,VULN-03837,MEDIUM,config_issue,Open port exposed,Restrict port
220.99.123.212,VULN-03838,CRITICAL,config_issue,Open port exposed,Restrict port
121.40.70.28,VULN-03839,LOW,open_port,Open port exposed,Apply patch
67.234.166.48,VULN-03840,HIGH,weak_cipher,Weak cipher detected,Apply patch
63.78.110.169,VULN-03841,MEDIUM,open_port,Weak cipher detected,Apply patch
184.149.240.207,VULN-03842,MEDIUM,weak_cipher,Misconfig found,Restrict port
104.18.77.166,VULN-03843,HIGH,weak_cipher,Weak cipher detected,Restrict port
123.27.215.80,VULN-03844,MEDIUM,open_port,Open port exposed,Restrict port
38.34.225.3,VULN-03845,HIGH,config_issue,Misconfig found,Apply patch
121.23.232.41,VULN-03846,LOW,open_port,Misconfig found,Restrict port
72.22.17.225,VULN-03847,LOW,open_port,Open port exposed,Fix config
42.138.188.189,VULN-03848,MEDIUM,open_port,Misconfig found,Restrict port
80.92.239.180,VULN-03849,MEDIUM,config_issue,Open port exposed,Restrict port
8.127.75.15,VULN-03850,MEDIUM,weak_cipher,Open port exposed,Apply patch
30.230.150.96,VULN-03851,HIGH,weak_cipher,Misconfig found,Apply patch
77.56.199.179,VULN-03852,MEDIUM,config_issue,Weak cipher detected,Restrict port
89.240.223.194,VULN-03853,MEDIUM,open_port,Weak cipher detected,Restrict port
239.253.140.96,VULN-03854,LOW,config_issue,Misconfig found,Apply patch
253.67.76.89,VULN-03855,LOW,weak_cipher,Misconfig found,Restrict port
74.160.189.44,VULN-03856,CRITICAL,open_port,Open port exposed,Fix config
86.29.87.206,VULN-03857,MEDIUM,open_port,Open port exposed,Restrict port
38.180.197.46,VULN-03858,MEDIUM,open_port,Misconfig found,Apply patch
246.197.208.25,VULN-03859,CRITICAL,config_issue,Weak cipher detected,Apply patch
239.24.85.200,VULN-03860,MEDIUM,config_issue,Open port exposed,Apply patch
26.10.240.84,VULN-03861,CRITICAL,open_port,Misconfig found,Restrict port
244.61.82.197,VULN-03862,CRITICAL,weak_cipher,Open port exposed,Restrict port
29.81.68.177,VULN-03863,CRITICAL,open_port,Open port exposed,Restrict port
80.105.232.193,VULN-03864,MEDIUM,weak_cipher,Misconfig found,Fix config
212.225.173.252,VULN-03865,LOW,open_port,Weak cipher detected,Fix config
10.211.201.43,VULN-03866,MEDIUM,config_issue,Open port exposed,Apply patch
79.217.134.102,VULN-03867,CRITICAL,open_port,Misconfig found,Fix config
33.209.93.173,VULN-03868,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
231.35.242.236,VULN-03869,HIGH,open_port,Weak cipher detected,Apply patch
227.102.238.97,VULN-03870,HIGH,config_issue,Open port exposed,Fix config
226.32.67.185,VULN-03871,CRITICAL,config_issue,Misconfig found,Apply patch
120.23.3.107,VULN-03872,CRITICAL,open_port,Open port exposed,Restrict port
242.52.39.194,VULN-03873,HIGH,open_port,Weak cipher detected,Fix config
65.167.172.124,VULN-03874,CRITICAL,weak_cipher,Weak cipher detected,Fix config
115.33.108.228,VULN-03875,MEDIUM,weak_cipher,Open port exposed,Fix config
79.15.111.4,VULN-03876,MEDIUM,open_port,Misconfig found,Fix config
50.67.80.125,VULN-03877,CRITICAL,weak_cipher,Weak cipher detected,Restrict port
108.197.133.189,VULN-03878,HIGH,open_port,Open port exposed,Restrict port
218.202.162.79,VULN-03879,CRITICAL,open_port,Weak cipher detected,Restrict port
129.188.156.128,VULN-03880,LOW,weak_cipher,Weak cipher detected,Apply patch
65.59.80.176,VULN-03881,LOW,weak_cipher,Weak cipher detected,Apply patch
169.97.20.108,VULN-03882,LOW,weak_cipher,Misconfig found,Apply patch
66.187.4.71,VULN-03883,HIGH,open_port,Open port exposed,Apply patch
179.157.161.145,VULN-03884,LOW,open_port,Weak cipher detected,Restrict port
86.225.143.45,VULN-03885,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
164.98.87.214,VULN-03886,LOW,config_issue,Misconfig found,Restrict port
157.87.31.165,VULN-03887,LOW,weak_cipher,Weak cipher detected,Apply patch
124.133.222.84,VULN-03888,MEDIUM,open_port,Misconfig found,Fix config
136.145.196.94,VULN-03889,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
36.115.213.185,VULN-03890,HIGH,weak_cipher,Weak cipher detected,Apply patch
218.26.79.61,VULN-03891,LOW,config_issue,Weak cipher detected,Restrict port
95.137.26.138,VULN-03892,LOW,open_port,Weak cipher detected,Apply patch
158.46.87.77,VULN-03893,CRITICAL,weak_cipher,Misconfig found,Apply patch
104.205.123.39,VULN-03894,CRITICAL,weak_cipher,Misconfig found,Restrict port
56.30.37.205,VULN-03895,MEDIUM,weak_cipher,Weak cipher detected,Fix config
230.211.166.97,VULN-03896,LOW,open_port,Open port exposed,Apply patch
232.5.65.236,VULN-03897,LOW,weak_cipher,Weak cipher detected,Restrict port
59.167.155.141,VULN-03898,LOW,open_port,Open port exposed,Restrict port
97.78.246.202,VULN-03899,CRITICAL,open_port,Misconfig found,Apply patch
103.210.244.231,VULN-03900,LOW,open_port,Open port exposed,Fix config
179.68.126.85,VULN-03901,MEDIUM,weak_cipher,Weak cipher detected,Fix config
133.104.235.36,VULN-03902,CRITICAL,weak_cipher,Open port exposed,Apply patch
39.77.21.121,VULN-03903,CRITICAL,open_port,Open port exposed,Fix config
90.24.186.93,VULN-03904,HIGH,weak_cipher,Weak cipher detected,Restrict port
126.108.197.120,VULN-03905,LOW,weak_cipher,Open port exposed,Apply patch
135.19.49.33,VULN-03906,MEDIUM,weak_cipher,Open port exposed,Apply patch
162.79.123.207,VULN-03907,MEDIUM,config_issue,Misconfig found,Restrict port
29.154.154.61,VULN-03908,MEDIUM,config_issue,Misconfig found,Fix config
228.162.41.243,VULN-03909,CRITICAL,weak_cipher,Weak cipher detected,Restrict port
157.77.124.176,VULN-03910,MEDIUM,config_issue,Misconfig found,Apply patch
185.103.26.73,VULN-03911,HIGH,open_port,Open port exposed,Apply patch
6.25.96.201,VULN-03912,LOW,config_issue,Open port exposed,Restrict port
135.111.176.29,VULN-03913,HIGH,config_issue,Misconfig found,Fix config
167.159.40.169,VULN-03914,LOW,config_issue,Open port exposed,Restrict port
139.221.121.36,VULN-03915,LOW,weak_cipher,Misconfig found,Apply patch
22.108.164.12,VULN-03916,MEDIUM,config_issue,Weak cipher detected,Fix config
156.141.210.64,VULN-03917,LOW,config_issue,Open port exposed,Restrict port
161.31.156.179,VULN-03918,MEDIUM,config_issue,Open port exposed,Apply patch
209.157.245.60,VULN-03919,LOW,open_port,Open port exposed,Restrict port
163.87.26.218,VULN-03920,LOW,weak_cipher,Weak cipher detected,Apply patch
107.104.232.26,VULN-03921,LOW,config_issue,Misconfig found,Apply patch
193.181.159.253,VULN-03922,HIGH,weak_cipher,Weak cipher detected,Apply patch
34.245.123.252,VULN-03923,LOW,config_issue,Open port exposed,Fix config
39.143.194.41,VULN-03924,LOW,open_port,Misconfig found,Restrict port
168.49.147.211,VULN-03925,CRITICAL,open_port,Misconfig found,Restrict port
180.129.229.248,VULN-03926,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
56.82.57.122,VULN-03927,LOW,open_port,Open port exposed,Apply patch
70.35.8.70,VULN-03928,LOW,config_issue,Open port exposed,Fix config
125.224.112.214,VULN-03929,HIGH,open_port,Weak cipher detected,Fix config
39.86.146.150,VULN-03930,LOW,open_port,Misconfig found,Apply patch
241.6.113.95,VULN-03931,CRITICAL,open_port,Weak cipher detected,Fix config
171.48.77.245,VULN-03932,LOW,weak_cipher,Misconfig found,Restrict port
159.160.230.186,VULN-03933,HIGH,weak_cipher,Misconfig found,Apply patch
178.246.166.33,VULN-03934,LOW,config_issue,Misconfig found,Restrict port
129.127.108.6,VULN-03935,MEDIUM,config_issue,Misconfig found,Apply patch
116.79.2.24,VULN-03936,CRITICAL,weak_cipher,Open port exposed,Apply patch
246.139.217.222,VULN-03937,MEDIUM,open_port,Open port exposed,Restrict port
145.122.220.56,VULN-03938,HIGH,weak_cipher,Open port exposed,Restrict port
200.225.126.2,VULN-03939,HIGH,open_port,Open port exposed,Restrict port
123.82.52.196,VULN-03940,CRITICAL,open_port,Weak cipher detected,Apply patch
241.248.74.146,VULN-03941,CRITICAL,weak_cipher,Misconfig found,Restrict port
148.209.100.68,VULN-03942,HIGH,open_port,Weak cipher detected,Fix config
130.52.239.246,VULN-03943,CRITICAL,weak_cipher,Misconfig found,Apply patch
187.77.224.59,VULN-03944,MEDIUM,config_issue,Weak cipher detected,Fix config
13.188.249.50,VULN-03945,MEDIUM,config_issue,Misconfig found,Fix config
141.226.75.70,VULN-03946,HIGH,open_port,Open port exposed,Fix config
83.103.22.125,VULN-03947,LOW,config_issue,Weak cipher detected,Apply patch
152.246.231.162,VULN-03948,LOW,config_issue,Misconfig found,Fix config
249.18.52.126,VULN-03949,MEDIUM,open_port,Open port exposed,Fix config
38.179.211.53,VULN-03950,HIGH,weak_cipher,Misconfig found,Apply patch
1.21.49.98,VULN-03951,CRITICAL,config_issue,Weak cipher detected,Apply patch
68.178.241.82,VULN-03952,LOW,config_issue,Misconfig found,Fix config
25.46.133.115,VULN-03953,CRITICAL,weak_cipher,Misconfig found,Restrict port
30.184.34.204,VULN-03954,HIGH,open_port,Weak cipher detected,Restrict port
9.71.47.187,VULN-03955,MEDIUM,weak_cipher,Misconfig found,Apply patch
245.50.155.64,VULN-03956,MEDIUM,config_issue,Open port exposed,Restrict port
57.46.29.65,VULN-03957,MEDIUM,open_port,Weak cipher detected,Fix config
133.82.163.96,VULN-03958,LOW,config_issue,Misconfig found,Restrict port
133.96.57.37,VULN-03959,HIGH,open_port,Misconfig found,Restrict port
149.126.241.134,VULN-03960,CRITICAL,open_port,Open port exposed,Fix config
165.180.69.218,VULN-03961,LOW,open_port,Weak cipher detected,Fix config
27.237.35.143,VULN-03962,MEDIUM,open_port,Open port exposed,Apply patch
210.231.38.49,VULN-03963,LOW,config_issue,Misconfig found,Apply patch
2.138.206.83,VULN-03964,MEDIUM,config_issue,Open port exposed,Restrict port
71.215.221.21,VULN-03965,HIGH,config_issue,Weak cipher detected,Apply patch
44.153.104.241,VULN-03966,HIGH,open_port,Misconfig found,Fix config
31.56.160.136,VULN-03967,HIGH,config_issue,Misconfig found,Fix config
76.165.188.235,VULN-03968,LOW,weak_cipher,Weak cipher detected,Fix config
220.210.149.166,VULN-03969,MEDIUM,open_port,Misconfig found,Restrict port
233.16.164.214,VULN-03970,LOW,config_issue,Misconfig found,Restrict port
48.199.235.54,VULN-03971,HIGH,weak_cipher,Weak cipher detected,Apply patch
70.51.213.231,VULN-03972,CRITICAL,config_issue,Open port exposed,Restrict port
125.158.12.108,VULN-03973,LOW,open_port,Misconfig found,Restrict port
126.68.156.36,VULN-03974,HIGH,weak_cipher,Open port exposed,Apply patch
227.4.209.181,VULN-03975,LOW,config_issue,Open port exposed,Restrict port
19.76.11.144,VULN-03976,HIGH,weak_cipher,Misconfig found,Apply patch
116.65.170.232,VULN-03977,MEDIUM,weak_cipher,Weak cipher detected,Fix config
60.54.244.183,VULN-03978,HIGH,weak_cipher,Open port exposed,Apply patch
65.27.124.61,VULN-03979,LOW,open_port,Misconfig found,Apply patch
219.247.158.196,VULN-03980,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
226.155.76.245,VULN-03981,HIGH,open_port,Open port exposed,Restrict port
5.159.181.196,VULN-03982,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
172.48.136.26,VULN-03983,MEDIUM,config_issue,Open port exposed,Fix config
22.163.26.84,VULN-03984,LOW,config_issue,Misconfig found,Apply patch
186.226.42.17,VULN-03985,CRITICAL,open_port,Open port exposed,Fix config
66.4.110.44,VULN-03986,LOW,config_issue,Open port exposed,Restrict port
63.123.69.84,VULN-03987,LOW,config_issue,Weak cipher detected,Restrict port
41.3.200.146,VULN-03988,CRITICAL,open_port,Misconfig found,Apply patch
203.44.130.71,VULN-03989,CRITICAL,config_issue,Weak cipher detected,Apply patch
92.138.161.176,VULN-03990,HIGH,open_port,Weak cipher detected,Fix config
210.164.74.205,VULN-03991,MEDIUM,weak_cipher,Open port exposed,Restrict port
34.13.241.111,VULN-03992,MEDIUM,open_port,Open port exposed,Fix config
43.239.1.198,VULN-03993,LOW,open_port,Weak cipher detected,Fix config
181.175.134.57,VULN-03994,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
163.13.140.108,VULN-03995,CRITICAL,open_port,Weak cipher detected,Restrict port
162.10.69.169,VULN-03996,MEDIUM,open_port,Misconfig found,Apply patch
101.25.179.135,VULN-03997,MEDIUM,weak_cipher,Misconfig found,Fix config
38.89.238.176,VULN-03998,HIGH,weak_cipher,Misconfig found,Restrict port
243.237.240.161,VULN-03999,HIGH,config_issue,Weak cipher detected,Fix config
237.9.2.213,VULN-04000,LOW,config_issue,Open port exposed,Fix config
192.157.229.252,VULN-04001,CRITICAL,weak_cipher,Weak cipher detected,Restrict port
134.134.212.12,VULN-04002,MEDIUM,open_port,Weak cipher detected,Fix config
61.11.117.20,VULN-04003,HIGH,weak_cipher,Open port exposed,Fix config
38.156.248.108,VULN-04004,CRITICAL,weak_cipher,Open port exposed,Apply patch
182.198.108.85,VULN-04005,CRITICAL,weak_cipher,Open port exposed,Fix config
123.67.247.105,VULN-04006,LOW,weak_cipher,Weak cipher detected,Restrict port
181.229.106.201,VULN-04007,CRITICAL,config_issue,Weak cipher detected,Apply patch
176.146.24.51,VULN-04008,CRITICAL,config_issue,Weak cipher detected,Fix config
151.176.31.125,VULN-04009,LOW,open_port,Open port exposed,Apply patch
63.244.8.177,VULN-04010,MEDIUM,config_issue,Misconfig found,Restrict port
216.95.103.192,VULN-04011,HIGH,weak_cipher,Misconfig found,Fix config
218.102.14.128,VULN-04012,CRITICAL,open_port,Open port exposed,Apply patch
132.123.246.60,VULN-04013,CRITICAL,open_port,Weak cipher detected,Apply patch
56.118.30.253,VULN-04014,LOW,config_issue,Open port exposed,Restrict port
63.77.43.135,VULN-04015,CRITICAL,open_port,Misconfig found,Restrict port
27.190.60.126,VULN-04016,MEDIUM,config_issue,Weak cipher detected,Apply patch
127.184.222.68,VULN-04017,MEDIUM,config_issue,Open port exposed,Restrict port
30.41.234.151,VULN-04018,HIGH,open_port,Weak cipher detected,Fix config
62.46.66.116,VULN-04019,CRITICAL,weak_cipher,Misconfig found,Restrict port
160.156.210.126,VULN-04020,MEDIUM,open_port,Open port exposed,Fix config
49.109.117.146,VULN-04021,MEDIUM,config_issue,Weak cipher detected,Apply patch
198.115.15.187,VULN-04022,HIGH,open_port,Misconfig found,Restrict port
38.178.250.156,VULN-04023,LOW,config_issue,Misconfig found,Apply patch
228.126.206.4,VULN-04024,LOW,weak_cipher,Misconfig found,Fix config
57.222.53.14,VULN-04025,HIGH,config_issue,Open port exposed,Apply patch
153.105.215.137,VULN-04026,HIGH,weak_cipher,Weak cipher detected,Fix config
28.161.166.13,VULN-04027,LOW,open_port,Misconfig found,Apply patch
208.215.87.97,VULN-04028,LOW,weak_cipher,Open port exposed,Restrict port
26.40.175.2,VULN-04029,LOW,open_port,Misconfig found,Apply patch
68.74.101.101,VULN-04030,CRITICAL,open_port,Misconfig found,Apply patch
203.162.136.99,VULN-04031,HIGH,weak_cipher,Open port exposed,Fix config
221.86.230.127,VULN-04032,CRITICAL,open_port,Misconfig found,Restrict port
180.223.124.150,VULN-04033,MEDIUM,weak_cipher,Misconfig found,Apply patch
178.190.182.187,VULN-04034,HIGH,open_port,Open port exposed,Restrict port
130.24.93.32,VULN-04035,LOW,open_port,Weak cipher detected,Restrict port
62.254.69.210,VULN-04036,CRITICAL,open_port,Weak cipher detected,Restrict port
6.250.15.19,VULN-04037,HIGH,config_issue,Open port exposed,Fix config
156.116.35.125,VULN-04038,MEDIUM,config_issue,Misconfig found,Restrict port
214.142.204.148,VULN-04039,CRITICAL,open_port,Weak cipher detected,Fix config
108.60.66.66,VULN-04040,LOW,config_issue,Misconfig found,Restrict port
200.59.211.184,VULN-04041,CRITICAL,config_issue,Weak cipher detected,Fix config
107.129.157.251,VULN-04042,LOW,weak_cipher,Misconfig found,Fix config
186.71.110.44,VULN-04043,MEDIUM,config_issue,Open port exposed,Apply patch
121.186.152.111,VULN-04044,CRITICAL,open_port,Open port exposed,Restrict port
237.98.46.3,VULN-04045,HIGH,weak_cipher,Misconfig found,Fix config
116.144.140.184,VULN-04046,LOW,config_issue,Open port exposed,Apply patch
206.27.216.79,VULN-04047,MEDIUM,weak_cipher,Open port exposed,Fix config
10.60.76.159,VULN-04048,LOW,config_issue,Weak cipher detected,Apply patch
58.3.253.215,VULN-04049,CRITICAL,config_issue,Open port exposed,Restrict port
11.225.192.226,VULN-04050,CRITICAL,config_issue,Open port exposed,Fix config
109.94.153.130,VULN-04051,HIGH,weak_cipher,Open port exposed,Fix config
207.112.17.152,VULN-04052,LOW,open_port,Open port exposed,Fix config
230.253.96.89,VULN-04053,HIGH,open_port,Open port exposed,Fix config
116.80.226.239,VULN-04054,MEDIUM,open_port,Open port exposed,Apply patch
35.166.240.19,VULN-04055,LOW,config_issue,Misconfig found,Restrict port
96.101.89.62,VULN-04056,LOW,config_issue,Open port exposed,Fix config
220.68.187.219,VULN-04057,HIGH,open_port,Misconfig found,Fix config
67.152.248.197,VULN-04058,CRITICAL,config_issue,Misconfig found,Restrict port
230.149.184.14,VULN-04059,HIGH,weak_cipher,Misconfig found,Fix config
198.126.178.153,VULN-04060,HIGH,weak_cipher,Weak cipher detected,Fix config
168.8.200.17,VULN-04061,HIGH,config_issue,Weak cipher detected,Fix config
21.18.218.164,VULN-04062,MEDIUM,config_issue,Misconfig found,Restrict port
196.188.221.196,VULN-04063,HIGH,open_port,Weak cipher detected,Fix config
132.235.244.177,VULN-04064,HIGH,weak_cipher,Misconfig found,Apply patch
57.126.116.248,VULN-04065,HIGH,weak_cipher,Misconfig found,Apply patch
37.70.235.178,VULN-04066,CRITICAL,config_issue,Open port exposed,Fix config
45.118.4.254,VULN-04067,MEDIUM,weak_cipher,Misconfig found,Restrict port
89.250.139.112,VULN-04068,LOW,weak_cipher,Misconfig found,Restrict port
213.225.98.32,VULN-04069,CRITICAL,weak_cipher,Misconfig found,Fix config
202.47.14.107,VULN-04070,CRITICAL,weak_cipher,Misconfig found,Restrict port
26.14.117.181,VULN-04071,HIGH,open_port,Misconfig found,Apply patch
97.136.233.95,VULN-04072,HIGH,config_issue,Weak cipher detected,Fix config
157.244.88.117,VULN-04073,MEDIUM,open_port,Weak cipher detected,Fix config
12.238.82.130,VULN-04074,CRITICAL,open_port,Open port exposed,Restrict port
156.195.10.104,VULN-04075,HIGH,open_port,Weak cipher detected,Apply patch
235.102.237.14,VULN-04076,HIGH,weak_cipher,Misconfig found,Restrict port
138.182.104.235,VULN-04077,MEDIUM,config_issue,Weak cipher detected,Restrict port
226.157.211.93,VULN-04078,CRITICAL,config_issue,Open port exposed,Restrict port
174.152.46.191,VULN-04079,LOW,config_issue,Weak cipher detected,Fix config
205.45.35.88,VULN-04080,CRITICAL,open_port,Misconfig found,Restrict port
82.5.249.227,VULN-04081,MEDIUM,open_port,Open port exposed,Apply patch
176.126.225.73,VULN-04082,HIGH,weak_cipher,Misconfig found,Fix config
26.107.200.249,VULN-04083,LOW,weak_cipher,Misconfig found,Apply patch
179.48.112.137,VULN-04084,LOW,open_port,Open port exposed,Apply patch
159.183.207.91,VULN-04085,LOW,open_port,Weak cipher detected,Fix config
64.97.178.173,VULN-04086,HIGH,weak_cipher,Weak cipher detected,Restrict port
120.58.71.96,VULN-04087,HIGH,config_issue,Weak cipher detected,Fix config
159.236.230.164,VULN-04088,CRITICAL,weak_cipher,Misconfig found,Restrict port
134.118.159.68,VULN-04089,CRITICAL,config_issue,Misconfig found,Apply patch
119.133.124.109,VULN-04090,LOW,weak_cipher,Open port exposed,Apply patch
210.109.70.251,VULN-04091,LOW,open_port,Misconfig found,Restrict port
181.210.233.201,VULN-04092,CRITICAL,config_issue,Open port exposed,Apply patch
8.243.45.1,VULN-04093,MEDIUM,config_issue,Weak cipher detected,Apply patch
163.159.73.59,VULN-04094,HIGH,open_port,Misconfig found,Fix config
241.93.4.16,VULN-04095,LOW,config_issue,Misconfig found,Fix config
219.3.51.154,VULN-04096,MEDIUM,open_port,Open port exposed,Fix config
131.192.89.61,VULN-04097,MEDIUM,config_issue,Weak cipher detected,Fix config
161.253.18.162,VULN-04098,CRITICAL,config_issue,Misconfig found,Fix config
150.220.3.184,VULN-04099,LOW,weak_cipher,Weak cipher detected,Restrict port
15.185.122.139,VULN-04100,CRITICAL,open_port,Open port exposed,Apply patch
199.227.116.65,VULN-04101,LOW,weak_cipher,Weak cipher detected,Apply patch
239.253.137.175,VULN-04102,HIGH,open_port,Misconfig found,Fix config
169.134.134.104,VULN-04103,MEDIUM,open_port,Weak cipher detected,Fix config
129.196.49.169,VULN-04104,CRITICAL,weak_cipher,Misconfig found,Restrict port
10.213.186.107,VULN-04105,CRITICAL,weak_cipher,Open port exposed,Restrict port
143.250.208.93,VULN-04106,MEDIUM,config_issue,Open port exposed,Restrict port
83.102.106.114,VULN-04107,MEDIUM,open_port,Weak cipher detected,Fix config
172.27.27.164,VULN-04108,CRITICAL,open_port,Weak cipher detected,Apply patch
10.198.240.150,VULN-04109,CRITICAL,open_port,Open port exposed,Restrict port
50.167.75.52,VULN-04110,CRITICAL,weak_cipher,Open port exposed,Fix config
91.105.206.84,VULN-04111,LOW,weak_cipher,Open port exposed,Apply patch
60.33.229.53,VULN-04112,MEDIUM,open_port,Open port exposed,Restrict port
222.216.159.245,VULN-04113,LOW,weak_cipher,Misconfig found,Fix config
134.5.88.137,VULN-04114,LOW,open_port,Open port exposed,Apply patch
45.73.123.97,VULN-04115,HIGH,open_port,Weak cipher detected,Apply patch
120.128.165.244,VULN-04116,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
174.111.228.190,VULN-04117,LOW,config_issue,Open port exposed,Fix config
197.48.18.158,VULN-04118,LOW,open_port,Open port exposed,Restrict port
12.46.127.47,VULN-04119,CRITICAL,open_port,Weak cipher detected,Apply patch
7.141.138.200,VULN-04120,HIGH,weak_cipher,Weak cipher detected,Apply patch
209.146.57.104,VULN-04121,HIGH,open_port,Open port exposed,Apply patch
86.22.152.77,VULN-04122,MEDIUM,weak_cipher,Open port exposed,Restrict port
86.8.66.111,VULN-04123,MEDIUM,weak_cipher,Misconfig found,Apply patch
141.239.7.149,VULN-04124,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
205.220.171.236,VULN-04125,HIGH,config_issue,Weak cipher detected,Restrict port
206.12.31.250,VULN-04126,HIGH,config_issue,Misconfig found,Apply patch
209.155.242.197,VULN-04127,MEDIUM,weak_cipher,Open port exposed,Apply patch
108.135.182.240,VULN-04128,MEDIUM,open_port,Weak cipher detected,Fix config
189.235.145.74,VULN-04129,CRITICAL,config_issue,Misconfig found,Restrict port
18.170.176.203,VULN-04130,CRITICAL,open_port,Misconfig found,Restrict port
86.174.204.178,VULN-04131,HIGH,weak_cipher,Open port exposed,Restrict port
34.226.144.84,VULN-04132,CRITICAL,config_issue,Open port exposed,Fix config
179.200.121.115,VULN-04133,LOW,open_port,Weak cipher detected,Fix config
45.96.246.117,VULN-04134,CRITICAL,config_issue,Open port exposed,Fix config
39.74.55.214,VULN-04135,CRITICAL,open_port,Weak cipher detected,Restrict port
128.182.252.174,VULN-04136,LOW,weak_cipher,Weak cipher detected,Restrict port
100.180.140.76,VULN-04137,LOW,open_port,Misconfig found,Apply patch
109.79.63.178,VULN-04138,HIGH,config_issue,Weak cipher detected,Restrict port
152.148.167.145,VULN-04139,CRITICAL,open_port,Weak cipher detected,Fix config
233.124.142.217,VULN-04140,HIGH,weak_cipher,Misconfig found,Fix config
218.128.31.26,VULN-04141,MEDIUM,open_port,Open port exposed,Restrict port
108.172.116.220,VULN-04142,LOW,open_port,Open port exposed,Fix config
18.77.7.76,VULN-04143,MEDIUM,config_issue,Misconfig found,Apply patch
211.132.140.218,VULN-04144,LOW,config_issue,Weak cipher detected,Restrict port
39.89.180.52,VULN-04145,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
55.163.123.66,VULN-04146,LOW,weak_cipher,Open port exposed,Fix config
99.27.185.6,VULN-04147,HIGH,weak_cipher,Weak cipher detected,Apply patch
123.144.201.28,VULN-04148,LOW,weak_cipher,Weak cipher detected,Fix config
187.84.216.253,VULN-04149,LOW,weak_cipher,Open port exposed,Apply patch
179.93.210.120,VULN-04150,LOW,weak_cipher,Open port exposed,Apply patch
183.102.206.115,VULN-04151,HIGH,open_port,Misconfig found,Restrict port
53.140.230.126,VULN-04152,MEDIUM,open_port,Misconfig found,Fix config
42.246.144.156,VULN-04153,CRITICAL,config_issue,Weak cipher detected,Apply patch
48.102.190.240,VULN-04154,CRITICAL,weak_cipher,Open port exposed,Restrict port
32.132.117.184,VULN-04155,CRITICAL,config_issue,Weak cipher detected,Apply patch
99.238.213.10,VULN-04156,HIGH,open_port,Weak cipher detected,Fix config
48.227.235.209,VULN-04157,CRITICAL,config_issue,Misconfig found,Apply patch
103.150.115.3,VULN-04158,LOW,weak_cipher,Weak cipher detected,Apply patch
174.114.233.13,VULN-04159,HIGH,open_port,Misconfig found,Restrict port
204.160.102.73,VULN-04160,HIGH,weak_cipher,Misconfig found,Fix config
55.241.93.212,VULN-04161,CRITICAL,config_issue,Weak cipher detected,Apply patch
3.171.244.47,VULN-04162,LOW,config_issue,Open port exposed,Restrict port
72.169.191.131,VULN-04163,HIGH,config_issue,Open port exposed,Fix config
191.40.113.112,VULN-04164,MEDIUM,config_issue,Open port exposed,Apply patch
