host,policy_id,standard,status,detail
244.173.193.117,P-1201,SOC2,FAIL,TLS>=1.2 enforced
163.222.249.59,P-1202,SOC2,FAIL,MFA enabled
99.14.51.163,P-1203,NIST-CSF,PASS,MFA enabled
209.247.24.144,P-1204,SOC2,PASS,MFA enabled
124.113.121.238,P-1205,ISO27001,PASS,MFA enabled
148.63.98.110,P-1206,SOC2,FAIL,SSH root disabled
195.243.87.28,P-1207,ISO27001,PASS,TLS>=1.2 enforced
2.77.243.128,P-1208,NIST-CSF,PASS,TLS>=1.2 enforced
227.66.38.96,P-1209,ISO27001,FAIL,MFA enabled
9.204.178.79,P-1210,ISO27001,FAIL,MFA enabled
102.103.81.95,P-1211,NIST-CSF,PASS,TLS>=1.2 enforced
70.55.19.18,P-1212,SOC2,FAIL,MFA enabled
123.108.60.183,P-1213,ISO27001,PASS,SSH root disabled
80.109.59.193,P-1214,NIST-CSF,FAIL,MFA enabled
76.126.20.161,P-1215,SOC2,PASS,SSH root disabled
243.231.170.83,P-1216,ISO27001,PASS,TLS>=1.2 enforced
25.20.238.130,P-1217,NIST-CSF,FAIL,TLS>=1.2 enforced
222.163.246.74,P-1218,ISO27001,PASS,MFA enabled
65.177.94.226,P-1219,NIST-CSF,FAIL,SSH root disabled
145.179.157.69,P-1220,NIST-CSF,FAIL,MFA enabled
79.221.21.174,P-1221,ISO27001,PASS,SSH root disabled
82.119.204.53,P-1222,SOC2,PASS,SSH root disabled
12.152.109.244,P-1223,NIST-CSF,FAIL,SSH root disabled
114.110.146.115,P-1224,NIST-CSF,PASS,MFA enabled
87.251.3.217,P-1225,SOC2,PASS,TLS>=1.2 enforced
164.216.70.192,P-1226,SOC2,PASS,TLS>=1.2 enforced
216.6.183.82,P-1227,NIST-CSF,PASS,TLS>=1.2 enforced
1.96.215.64,P-1228,ISO27001,PASS,MFA enabled
200.126.100.205,P-1229,ISO27001,PASS,SSH root disabled
72.34.30.192,P-1230,SOC2,PASS,TLS>=1.2 enforced
33.75.41.10,P-1231,ISO27001,FAIL,MFA enabled
44.49.179.88,P-1232,NIST-CSF,PASS,TLS>=1.2 enforced
184.254.58.189,P-1233,NIST-CSF,PASS,SSH root disabled
108.102.154.111,P-1234,SOC2,FAIL,SSH root disabled
113.177.245.75,P-1235,NIST-CSF,PASS,SSH root disabled
74.33.60.217,P-1236,SOC2,FAIL,TLS>=1.2 enforced
209.101.59.202,P-1237,ISO27001,FAIL,TLS>=1.2 enforced
52.9.182.62,P-1238,ISO27001,PASS,SSH root disabled
104.41.167.179,P-1239,NIST-CSF,FAIL,TLS>=1.2 enforced
5.103.92.151,P-1240,ISO27001,PASS,SSH root disabled
249.57.77.20,P-1241,SOC2,FAIL,SSH root disabled
74.85.61.110,P-1242,SOC2,PASS,MFA enabled
5.1.83.69,P-1243,ISO27001,FAIL,MFA enabled
55.10.222.57,P-1244,ISO27001,FAIL,TLS>=1.2 enforced
200.183.158.228,P-1245,SOC2,FAIL,SSH root disabled
137.134.182.156,P-1246,SOC2,PASS,SSH root disabled
153.250.206.1,P-1247,SOC2,PASS,SSH root disabled
77.126.144.224,P-1248,SOC2,PASS,SSH root disabled
130.6.43.136,P-1249,NIST-CSF,FAIL,MFA enabled
63.118.40.177,P-1250,NIST-CSF,PASS,SSH root disabled
227.185.145.174,P-1251,SOC2,PASS,SSH root disabled
57.126.23.139,P-1252,ISO27001,FAIL,SSH root disabled
182.240.82.62,P-1253,ISO27001,PASS,MFA enabled
205.235.151.169,P-1254,ISO27001,PASS,TLS>=1.2 enforced
117.227.100.240,P-1255,NIST-CSF,FAIL,MFA enabled
29.150.24.7,P-1256,SOC2,FAIL,MFA enabled
89.95.54.135,P-1257,NIST-CSF,FAIL,TLS>=1.2 enforced
85.98.194.122,P-1258,SOC2,PASS,TLS>=1.2 enforced
107.212.195.74,P-1259,SOC2,FAIL,MFA enabled
107.118.62.191,P-1260,SOC2,PASS,SSH root disabled
188.208.34.165,P-1261,ISO27001,PASS,MFA enabled
155.91.200.69,P-1262,SOC2,PASS,MFA enabled
202.52.226.186,P-1263,NIST-CSF,PASS,MFA enabled
128.123.74.78,P-1264,NIST-CSF,FAIL,MFA enabled
183.65.248.138,P-1265,NIST-CSF,PASS,TLS>=1.2 enforced
150.42.31.252,P-1266,ISO27001,FAIL,SSH root disabled
96.82.4.4,P-1267,SOC2,PASS,SSH root disabled
37.251.116.88,P-1268,SOC2,PASS,TLS>=1.2 enforced
70.96.38.77,P-1269,NIST-CSF,PASS,SSH root disabled
136.249.121.10,P-1270,NIST-CSF,PASS,TLS>=1.2 enforced
148.5.210.195,P-1271,NIST-CSF,FAIL,MFA enabled
161.182.138.73,P-1272,NIST-CSF,PASS,SSH root disabled
3.99.29.22,P-1273,ISO27001,FAIL,SSH root disabled
3.11.194.169,P-1274,SOC2,FAIL,SSH root disabled
200.10.215.10,P-1275,NIST-CSF,PASS,SSH root disabled
162.14.230.112,P-1276,NIST-CSF,PASS,MFA enabled
41.34.209.220,P-1277,NIST-CSF,FAIL,TLS>=1.2 enforced
147.58.48.217,P-1278,ISO27001,FAIL,MFA enabled
92.166.101.205,P-1279,SOC2,FAIL,TLS>=1.2 enforced
162.56.252.70,P-1280,NIST-CSF,PASS,TLS>=1.2 enforced
61.84.252.229,P-1281,ISO27001,PASS,TLS>=1.2 enforced
115.199.19.39,P-1282,SOC2,FAIL,MFA enabled
118.222.105.145,P-1283,SOC2,FAIL,SSH root disabled
240.208.21.102,P-1284,ISO27001,PASS,MFA enabled
112.57.159.208,P-1285,SOC2,PASS,TLS>=1.2 enforced
115.106.58.227,P-1286,NIST-CSF,FAIL,TLS>=1.2 enforced
80.90.9.56,P-1287,NIST-CSF,PASS,TLS>=1.2 enforced
144.54.29.45,P-1288,SOC2,PASS,MFA enabled
131.107.219.115,P-1289,ISO27001,PASS,TLS>=1.2 enforced
216.25.153.134,P-1290,SOC2,PASS,MFA enabled
10.207.39.124,P-1291,NIST-CSF,FAIL,SSH root disabled
137.81.209.179,P-1292,SOC2,PASS,TLS>=1.2 enforced
46.136.164.181,P-1293,SOC2,PASS,SSH root disabled
59.181.181.99,P-1294,SOC2,PASS,TLS>=1.2 enforced
6.110.243.57,P-1295,ISO27001,FAIL,MFA enabled
93.210.224.222,P-1296,ISO27001,FAIL,TLS>=1.2 enforced
228.117.124.141,P-1297,ISO27001,FAIL,SSH root disabled
110.252.91.177,P-1298,NIST-CSF,FAIL,MFA enabled
98.62.131.11,P-1299,ISO27001,PASS,TLS>=1.2 enforced
225.210.26.36,P-1300,ISO27001,FAIL,TLS>=1.2 enforced
36.169.138.225,P-1301,ISO27001,PASS,SSH root disabled
153.184.101.120,P-1302,NIST-CSF,PASS,TLS>=1.2 enforced
184.236.171.49,P-1303,ISO27001,PASS,TLS>=1.2 enforced
178.199.116.103,P-1304,NIST-CSF,PASS,MFA enabled
3.12.232.195,P-1305,NIST-CSF,FAIL,MFA enabled
23.52.93.70,P-1306,NIST-CSF,FAIL,TLS>=1.2 enforced
226.172.245.78,P-1307,NIST-CSF,PASS,SSH root disabled
141.123.214.137,P-1308,SOC2,PASS,TLS>=1.2 enforced
90.6.142.166,P-1309,SOC2,FAIL,TLS>=1.2 enforced
197.80.192.120,P-1310,NIST-CSF,PASS,SSH root disabled
26.16.8.70,P-1311,ISO27001,PASS,SSH root disabled
151.108.125.20,P-1312,ISO27001,PASS,TLS>=1.2 enforced
140.52.209.101,P-1313,SOC2,FAIL,MFA enabled
130.235.137.80,P-1314,ISO27001,FAIL,SSH root disabled
235.40.223.128,P-1315,NIST-CSF,PASS,TLS>=1.2 enforced
201.231.83.65,P-1316,NIST-CSF,PASS,MFA enabled
235.38.186.160,P-1317,ISO27001,FAIL,TLS>=1.2 enforced
212.50.166.19,P-1318,SOC2,PASS,TLS>=1.2 enforced
213.80.209.108,P-1319,ISO27001,FAIL,MFA enabled
180.22.54.150,P-1320,ISO27001,PASS,MFA enabled
113.50.187.21,P-1321,ISO27001,FAIL,SSH root disabled
168.67.110.81,P-1322,SOC2,PASS,MFA enabled
167.109.156.35,P-1323,SOC2,PASS,TLS>=1.2 enforced
183.46.237.216,P-1324,NIST-CSF,PASS,MFA enabled
38.46.199.132,P-1325,SOC2,FAIL,SSH root disabled
54.83.30.173,P-1326,ISO27001,PASS,MFA enabled
186.133.15.203,P-1327,SOC2,PASS,SSH root disabled
224.251.16.192,P-1328,ISO27001,FAIL,MFA enabled
219.37.148.137,P-1329,NIST-CSF,FAIL,TLS>=1.2 enforced
128.247.114.139,P-1330,NIST-CSF,FAIL,SSH root disabled
238.246.115.245,P-1331,ISO27001,PASS,MFA enabled
223.193.153.62,P-1332,ISO27001,PASS,MFA enabled
225.191.129.172,P-1333,NIST-CSF,PASS,MFA enabled
137.177.104.70,P-1334,NIST-CSF,PASS,MFA enabled
232.67.202.205,P-1335,NIST-CSF,FAIL,TLS>=1.2 enforced
197.226.143.22,P-1336,ISO27001,FAIL,MFA enabled
115.233.156.228,P-1337,SOC2,FAIL,TLS>=1.2 enforced
144.9.178.76,P-1338,NIST-CSF,FAIL,SSH root disabled
103.118.4.151,P-1339,NIST-CSF,PASS,MFA enabled
20.151.135.211,P-1340,SOC2,FAIL,TLS>=1.2 enforced
240.28.234.145,P-1341,SOC2,FAIL,MFA enabled
156.30.182.151,P-1342,SOC2,PASS,SSH root disabled
203.165.225.169,P-1343,NIST-CSF,PASS,TLS>=1.2 enforced
35.195.180.198,P-1344,NIST-CSF,FAIL,TLS>=1.2 enforced
104.42.162.227,P-1345,ISO27001,FAIL,TLS>=1.2 enforced
156.224.230.176,P-1346,SOC2,PASS,TLS>=1.2 enforced
212.115.116.141,P-1347,NIST-CSF,FAIL,MFA enabled
60.103.215.112,P-1348,SOC2,PASS,SSH root disabled
27.57.136.38,P-1349,SOC2,PASS,MFA enabled
237.140.208.172,P-1350,SOC2,FAIL,TLS>=1.2 enforced
17.36.67.51,P-1351,NIST-CSF,FAIL,MFA enabled
62.106.227.233,P-1352,ISO27001,PASS,TLS>=1.2 enforced
191.9.227.72,P-1353,ISO27001,PASS,TLS>=1.2 enforced
191.78.36.191,P-1354,NIST-CSF,FAIL,SSH root disabled
232.163.117.29,P-1355,NIST-CSF,PASS,MFA enabled
195.191.153.15,P-1356,ISO27001,PASS,TLS>=1.2 enforced
35.151.136.32,P-1357,SOC2,PASS,TLS>=1.2 enforced
216.174.88.252,P-1358,SOC2,PASS,TLS>=1.2 enforced
157.2.155.175,P-1359,NIST-CSF,PASS,TLS>=1.2 enforced
15.20.139.225,P-1360,ISO27001,FAIL,MFA enabled
170.89.18.7,P-1361,ISO27001,PASS,MFA enabled
250.143.233.39,P-1362,ISO27001,PASS,TLS>=1.2 enforced
68.51.215.127,P-1363,SOC2,FAIL,MFA enabled
120.108.221.15,P-1364,ISO27001,FAIL,TLS>=1.2 enforced
208.32.116.207,P-1365,ISO27001,PASS,SSH root disabled
221.246.46.108,P-1366,NIST-CSF,FAIL,TLS>=1.2 enforced
26.59.70.181,P-1367,NIST-CSF,FAIL,TLS>=1.2 enforced
230.20.68.115,P-1368,NIST-CSF,FAIL,SSH root disabled
155.10.96.237,P-1369,ISO27001,FAIL,SSH root disabled
118.238.64.58,P-1370,ISO27001,PASS,MFA enabled
71.7.133.28,P-1371,NIST-CSF,FAIL,SSH root disabled
168.14.220.35,P-1372,ISO27001,FAIL,SSH root disabled
117.85.92.213,P-1373,NIST-CSF,PASS,MFA enabled
103.31.198.16,P-1374,ISO27001,PASS,SSH root disabled
1.27.141.86,P-1375,SOC2,PASS,SSH root disabled
84.150.183.185,P-1376,SOC2,PASS,TLS>=1.2 enforced
228.115.120.237,P-1377,ISO27001,FAIL,SSH root disabled
136.40.93.162,P-1378,ISO27001,FAIL,TLS>=1.2 enforced
190.87.93.140,P-1379,SOC2,PASS,TLS>=1.2 enforced
107.49.170.146,P-1380,NIST-CSF,PASS,MFA enabled
86.156.106.7,P-1381,NIST-CSF,PASS,MFA enabled
123.104.122.136,P-1382,ISO27001,FAIL,SSH root disabled
192.144.77.103,P-1383,ISO27001,FAIL,MFA enabled
46.243.55.142,P-1384,NIST-CSF,FAIL,SSH root disabled
46.168.141.158,P-1385,ISO27001,FAIL,MFA enabled
45.247.239.211,P-1386,SOC2,FAIL,TLS>=1.2 enforced
225.240.133.236,P-1387,NIST-CSF,FAIL,SSH root disabled
32.89.87.171,P-1388,SOC2,FAIL,SSH root disabled
99.206.111.128,P-1389,NIST-CSF,PASS,SSH root disabled
62.54.192.45,P-1390,ISO27001,FAIL,SSH root disabled
88.190.140.23,P-1391,SOC2,FAIL,TLS>=1.2 enforced
63.170.126.213,P-1392,NIST-CSF,PASS,MFA enabled
182.23.163.233,P-1393,SOC2,FAIL,SSH root disabled
126.74.112.87,P-1394,ISO27001,PASS,TLS>=1.2 enforced
141.123.129.234,P-1395,NIST-CSF,FAIL,SSH root disabled
137.53.156.28,P-1396,SOC2,PASS,SSH root disabled
179.194.103.210,P-1397,SOC2,PASS,SSH root disabled
232.217.185.48,P-1398,NIST-CSF,PASS,MFA enabled
153.144.236.254,P-1399,SOC2,PASS,SSH root disabled
35.34.44.211,P-1400,ISO27001,PASS,SSH root disabled
6.76.150.112,P-1401,ISO27001,FAIL,SSH root disabled
216.209.73.130,P-1402,NIST-CSF,PASS,MFA enabled
68.253.36.158,P-1403,SOC2,PASS,SSH root disabled
189.241.111.168,P-1404,ISO27001,FAIL,SSH root disabled
16.141.72.161,P-1405,NIST-CSF,FAIL,TLS>=1.2 enforced
186.122.56.55,P-1406,ISO27001,PASS,TLS>=1.2 enforced
183.186.74.69,P-1407,NIST-CSF,PASS,TLS>=1.2 enforced
63.108.194.121,P-1408,ISO27001,FAIL,MFA enabled
198.136.3.166,P-1409,SOC2,PASS,SSH root disabled
124.145.233.159,P-1410,SOC2,PASS,MFA enabled
43.161.238.84,P-1411,NIST-CSF,FAIL,SSH root disabled
229.74.6.167,P-1412,ISO27001,PASS,SSH root disabled
26.222.62.97,P-1413,NIST-CSF,FAIL,SSH root disabled
56.249.232.203,P-1414,ISO27001,PASS,MFA enabled
12.159.177.180,P-1415,SOC2,PASS,TLS>=1.2 enforced
187.226.99.18,P-1416,NIST-CSF,PASS,TLS>=1.2 enforced
161.91.55.16,P-1417,SOC2,PASS,TLS>=1.2 enforced
222.204.166.131,P-1418,SOC2,PASS,MFA enabled
163.49.222.177,P-1419,NIST-CSF,FAIL,SSH root disabled
218.39.245.139,P-1420,NIST-CSF,PASS,MFA enabled
71.4.29.201,P-1421,SOC2,FAIL,MFA enabled
56.83.96.90,P-1422,SOC2,PASS,TLS>=1.2 enforced
253.177.44.194,P-1423,ISO27001,FAIL,MFA enabled
156.161.121.181,P-1424,NIST-CSF,PASS,TLS>=1.2 enforced
169.222.185.167,P-1425,ISO27001,FAIL,TLS>=1.2 enforced
219.44.32.2,P-1426,NIST-CSF,FAIL,SSH root disabled
33.146.249.185,P-1427,SOC2,PASS,SSH root disabled
197.92.118.214,P-1428,ISO27001,FAIL,MFA enabled
62.216.181.50,P-1429,ISO27001,FAIL,MFA enabled
146.92.194.254,P-1430,SOC2,FAIL,TLS>=1.2 enforced
198.13.34.39,P-1431,ISO27001,PASS,MFA enabled
152.180.6.222,P-1432,ISO27001,PASS,TLS>=1.2 enforced
115.143.55.178,P-1433,SOC2,PASS,SSH root disabled
246.167.128.40,P-1434,ISO27001,PASS,SSH root disabled
190.73.59.214,P-1435,NIST-CSF,PASS,TLS>=1.2 enforced
240.65.168.53,P-1436,NIST-CSF,PASS,MFA enabled
58.228.106.173,P-1437,NIST-CSF,FAIL,MFA enabled
62.27.128.54,P-1438,SOC2,FAIL,MFA enabled
76.219.254.45,P-1439,SOC2,PASS,SSH root disabled
80.219.185.180,P-1440,SOC2,FAIL,TLS>=1.2 enforced
12.87.250.60,P-1441,ISO27001,FAIL,SSH root disabled
191.142.2.89,P-1442,SOC2,PASS,TLS>=1.2 enforced
218.151.114.184,P-1443,ISO27001,PASS,MFA enabled
154.211.7.167,P-1444,SOC2,FAIL,SSH root disabled
92.104.194.14,P-1445,ISO27001,FAIL,SSH root disabled
160.1.112.87,P-1446,ISO27001,FAIL,MFA enabled
42.136.65.66,P-1447,ISO27001,PASS,SSH root disabled
165.157.209.53,P-1448,NIST-CSF,FAIL,TLS>=1.2 enforced
220.246.156.216,P-1449,ISO27001,PASS,MFA enabled
250.209.237.113,P-1450,NIST-CSF,FAIL,SSH root disabled
189.189.200.85,P-1451,NIST-CSF,PASS,MFA enabled
114.13.172.79,P-1452,ISO27001,FAIL,TLS>=1.2 enforced
3.11.64.201,P-1453,ISO27001,FAIL,SSH root disabled
101.98.52.22,P-1454,SOC2,FAIL,SSH root disabled
105.217.95.181,P-1455,NIST-CSF,PASS,SSH root disabled
72.243.182.156,P-1456,NIST-CSF,PASS,TLS>=1.2 enforced
22.94.250.182,P-1457,NIST-CSF,PASS,MFA enabled
130.12.148.183,P-1458,SOC2,FAIL,SSH root disabled
59.93.32.183,P-1459,SOC2,PASS,MFA enabled
87.252.253.95,P-1460,NIST-CSF,PASS,TLS>=1.2 enforced
25.67.205.206,P-1461,SOC2,FAIL,MFA enabled
12.18.99.108,P-1462,SOC2,PASS,TLS>=1.2 enforced
165.23.142.231,P-1463,ISO27001,PASS,TLS>=1.2 enforced
38.117.12.226,P-1464,NIST-CSF,PASS,TLS>=1.2 enforced
163.137.108.141,P-1465,ISO27001,PASS,MFA enabled
125.187.242.247,P-1466,SOC2,FAIL,MFA enabled
196.46.163.108,P-1467,ISO27001,FAIL,SSH root disabled
30.8.154.49,P-1468,SOC2,PASS,MFA enabled
157.217.192.71,P-1469,NIST-CSF,PASS,TLS>=1.2 enforced
236.210.230.229,P-1470,ISO27001,FAIL,SSH root disabled
64.235.185.241,P-1471,SOC2,PASS,TLS>=1.2 enforced
129.210.216.117,P-1472,NIST-CSF,PASS,TLS>=1.2 enforced
27.133.51.160,P-1473,NIST-CSF,FAIL,SSH root disabled
178.61.134.119,P-1474,NIST-CSF,FAIL,TLS>=1.2 enforced
252.134.122.32,P-1475,ISO27001,PASS,SSH root disabled
238.206.128.202,P-1476,SOC2,PASS,TLS>=1.2 enforced
29.6.229.137,P-1477,SOC2,PASS,TLS>=1.2 enforced
93.124.129.200,P-1478,SOC2,FAIL,TLS>=1.2 enforced
226.62.28.32,P-1479,ISO27001,FAIL,MFA enabled
17.196.188.210,P-1480,ISO27001,PASS,SSH root disabled
216.137.48.216,P-1481,ISO27001,FAIL,MFA enabled
155.29.83.67,P-1482,SOC2,FAIL,TLS>=1.2 enforced
60.139.27.234,P-1483,ISO27001,PASS,TLS>=1.2 enforced
36.137.98.4,P-1484,ISO27001,FAIL,TLS>=1.2 enforced
165.242.78.149,P-1485,ISO27001,PASS,SSH root disabled
180.249.3.178,P-1486,ISO27001,FAIL,SSH root disabled
202.96.90.167,P-1487,SOC2,FAIL,TLS>=1.2 enforced
75.90.89.32,P-1488,SOC2,PASS,SSH root disabled
124.171.140.170,P-1489,NIST-CSF,PASS,TLS>=1.2 enforced
108.195.147.145,P-1490,NIST-CSF,FAIL,TLS>=1.2 enforced
1.228.133.146,P-1491,NIST-CSF,FAIL,TLS>=1.2 enforced
163.192.155.213,P-1492,SOC2,FAIL,MFA enabled
219.107.47.191,P-1493,SOC2,FAIL,MFA enabled
51.242.136.133,P-1494,SOC2,FAIL,MFA enabled
110.127.195.193,P-1495,ISO27001,FAIL,MFA enabled
112.26.177.60,P-1496,NIST-CSF,PASS,TLS>=1.2 enforced
158.74.17.47,P-1497,SOC2,PASS,TLS>=1.2 enforced
9.74.187.188,P-1498,NIST-CSF,PASS,MFA enabled
200.200.1.195,P-1499,SOC2,FAIL,SSH root disabled
141.241.191.217,P-1500,SOC2,FAIL,TLS>=1.2 enforced
162.114.242.34,P-1501,NIST-CSF,PASS,TLS>=1.2 enforced
226.42.137.165,P-1502,NIST-CSF,PASS,TLS>=1.2 enforced
50.168.240.167,P-1503,SOC2,FAIL,MFA enabled
16.154.233.222,P-1504,NIST-CSF,FAIL,TLS>=1.2 enforced
250.113.95.102,P-1505,ISO27001,PASS,TLS>=1.2 enforced
81.184.191.224,P-1506,NIST-CSF,PASS,SSH root disabled
146.121.145.29,P-1507,SOC2,FAIL,SSH root disabled
25.150.198.125,P-1508,SOC2,FAIL,SSH root disabled
165.117.2.73,P-1509,NIST-CSF,FAIL,SSH root disabled
199.93.226.95,P-1510,ISO27001,FAIL,MFA enabled
137.65.244.210,P-1511,SOC2,FAIL,MFA enabled
16.127.105.79,P-1512,NIST-CSF,FAIL,TLS>=1.2 enforced
221.182.125.164,P-1513,ISO27001,FAIL,SSH root disabled
174.127.111.184,P-1514,NIST-CSF,FAIL,MFA enabled
71.183.220.212,P-1515,SOC2,FAIL,SSH root disabled
194.122.217.92,P-1516,ISO27001,FAIL,TLS>=1.2 enforced
135.64.220.8,P-1517,ISO27001,FAIL,TLS>=1.2 enforced
246.50.111.144,P-1518,ISO27001,FAIL,MFA enabled
253.145.18.184,P-1519,ISO27001,PASS,SSH root disabled
46.36.76.192,P-1520,SOC2,FAIL,TLS>=1.2 enforced
29.101.21.9,P-1521,SOC2,FAIL,SSH root disabled
45.20.105.86,P-1522,NIST-CSF,FAIL,SSH root disabled
174.63.144.23,P-1523,NIST-CSF,PASS,SSH root disabled
15.185.35.18,P-1524,SOC2,PASS,TLS>=1.2 enforced
112.209.146.227,P-1525,ISO27001,PASS,TLS>=1.2 enforced
137.42.193.186,P-1526,SOC2,FAIL,TLS>=1.2 enforced
5.46.109.110,P-1527,SOC2,FAIL,SSH root disabled
182.254.92.211,P-1528,NIST-CSF,PASS,TLS>=1.2 enforced
191.81.222.145,P-1529,SOC2,FAIL,MFA enabled
153.105.135.252,P-1530,ISO27001,PASS,MFA enabled
183.88.132.232,P-1531,NIST-CSF,FAIL,TLS>=1.2 enforced
205.230.136.163,P-1532,SOC2,PASS,MFA enabled
40.26.20.68,P-1533,NIST-CSF,FAIL,TLS>=1.2 enforced
139.101.37.210,P-1534,NIST-CSF,FAIL,MFA enabled
37.4.114.148,P-1535,SOC2,FAIL,SSH root disabled
71.32.17.235,P-1536,SOC2,FAIL,SSH root disabled
172.221.15.220,P-1537,NIST-CSF,PASS,MFA enabled
39.15.225.83,P-1538,SOC2,PASS,MFA enabled
240.172.15.198,P-1539,NIST-CSF,PASS,TLS>=1.2 enforced
14.122.213.10,P-1540,NIST-CSF,FAIL,SSH root disabled
125.176.27.6,P-1541,NIST-CSF,FAIL,MFA enabled
205.114.222.38,P-1542,SOC2,PASS,SSH root disabled
250.46.130.54,P-1543,SOC2,FAIL,TLS>=1.2 enforced
67.3.172.8,P-1544,NIST-CSF,PASS,TLS>=1.2 enforced
215.225.105.78,P-1545,NIST-CSF,FAIL,TLS>=1.2 enforced
23.244.105.122,P-1546,ISO27001,PASS,TLS>=1.2 enforced
41.105.54.38,P-1547,ISO27001,PASS,TLS>=1.2 enforced
76.8.118.23,P-1548,SOC2,PASS,TLS>=1.2 enforced
56.174.162.4,P-1549,SOC2,FAIL,MFA enabled
94.183.250.192,P-1550,NIST-CSF,FAIL,MFA enabled
36.16.164.219,P-1551,NIST-CSF,FAIL,MFA enabled
23.222.67.131,P-1552,NIST-CSF,FAIL,SSH root disabled
238.236.149.112,P-1553,SOC2,PASS,TLS>=1.2 enforced
188.54.62.59,P-1554,ISO27001,PASS,MFA enabled
186.199.211.84,P-1555,NIST-CSF,FAIL,SSH root disabled
118.44.245.100,P-1556,SOC2,FAIL,SSH root disabled
232.107.108.241,P-1557,ISO27001,PASS,TLS>=1.2 enforced
9.158.237.53,P-1558,SOC2,FAIL,SSH root disabled
242.58.173.34,P-1559,SOC2,FAIL,MFA enabled
215.6.33.85,P-1560,SOC2,PASS,MFA enabled
125.80.43.105,P-1561,ISO27001,PASS,TLS>=1.2 enforced
179.125.147.180,P-1562,ISO27001,PASS,MFA enabled
63.92.52.146,P-1563,SOC2,PASS,MFA enabled
148.25.167.183,P-1564,SOC2,FAIL,SSH root disabled
10.103.113.228,P-1565,ISO27001,FAIL,SSH root disabled
80.215.147.48,P-1566,SOC2,FAIL,SSH root disabled
233.39.188.208,P-1567,SOC2,FAIL,SSH root disabled
142.42.7.179,P-1568,ISO27001,PASS,SSH root disabled
183.168.18.160,P-1569,ISO27001,FAIL,SSH root disabled
145.239.53.171,P-1570,ISO27001,PASS,TLS>=1.2 enforced
27.16.127.3,P-1571,SOC2,FAIL,SSH root disabled
124.165.170.38,P-1572,NIST-CSF,PASS,SSH root disabled
97.133.14.4,P-1573,NIST-CSF,FAIL,TLS>=1.2 enforced
21.56.188.206,P-1574,ISO27001,PASS,SSH root disabled
224.217.89.137,P-1575,ISO27001,PASS,TLS>=1.2 enforced
229.39.30.213,P-1576,SOC2,FAIL,TLS>=1.2 enforced
238.97.137.251,P-1577,NIST-CSF,PASS,MFA enabled
15.231.135.189,P-1578,SOC2,FAIL,MFA enabled
161.27.232.236,P-1579,ISO27001,PASS,SSH root disabled
165.209.47.245,P-1580,SOC2,FAIL,SSH root disabled
237.39.249.163,P-1581,SOC2,FAIL,TLS>=1.2 enforced
14.28.209.95,P-1582,ISO27001,PASS,MFA enabled
108.5.13.55,P-1583,SOC2,PASS,TLS>=1.2 enforced
92.106.44.94,P-1584,SOC2,FAIL,SSH root disabled
27.125.25.245,P-1585,SOC2,PASS,TLS>=1.2 enforced
113.168.248.53,P-1586,NIST-CSF,PASS,SSH root disabled
173.231.185.37,P-1587,NIST-CSF,FAIL,TLS>=1.2 enforced
223.108.221.186,P-1588,ISO27001,PASS,TLS>=1.2 enforced
91.47.164.234,P-1589,NIST-CSF,PASS,TLS>=1.2 enforced
160.205.246.127,P-1590,SOC2,PASS,SSH root disabled
221.173.188.236,P-1591,SOC2,FAIL,SSH root disabled
161.190.174.52,P-1592,ISO27001,FAIL,TLS>=1.2 enforced
196.116.10.20,P-1593,SOC2,PASS,TLS>=1.2 enforced
35.199.89.87,P-1594,NIST-CSF,FAIL,TLS>=1.2 enforced
164.28.191.238,P-1595,SOC2,FAIL,TLS>=1.2 enforced
201.49.7.152,P-1596,ISO27001,PASS,SSH root disabled
183.82.18.94,P-1597,NIST-CSF,FAIL,MFA enabled
101.62.181.95,P-1598,SOC2,PASS,TLS>=1.2 enforced
29.36.116.247,P-1599,ISO27001,PASS,TLS>=1.2 enforced
86.27.36.57,P-1600,ISO27001,FAIL,MFA enabled
221.174.57.78,P-1601,NIST-CSF,PASS,TLS>=1.2 enforced
20.107.39.91,P-1602,SOC2,FAIL,SSH root disabled
140.189.140.242,P-1603,SOC2,FAIL,SSH root disabled
51.149.186.195,P-1604,ISO27001,FAIL,MFA enabled
9.80.124.126,P-1605,SOC2,PASS,SSH root disabled
152.49.58.94,P-1606,ISO27001,FAIL,TLS>=1.2 enforced
30.8.193.211,P-1607,SOC2,FAIL,SSH root disabled
150.217.34.33,P-1608,SOC2,FAIL,SSH root disabled
231.66.132.15,P-1609,SOC2,FAIL,MFA enabled
179.130.193.90,P-1610,SOC2,FAIL,SSH root disabled
54.118.187.241,P-1611,ISO27001,PASS,MFA enabled
58.149.233.250,P-1612,SOC2,FAIL,SSH root disabled
84.90.28.28,P-1613,NIST-CSF,PASS,MFA enabled
109.158.126.24,P-1614,NIST-CSF,PASS,SSH root disabled
34.129.116.96,P-1615,NIST-CSF,FAIL,SSH root disabled
131.4.53.107,P-1616,ISO27001,PASS,TLS>=1.2 enforced
146.247.162.113,P-1617,NIST-CSF,PASS,MFA enabled
151.201.250.228,P-1618,SOC2,FAIL,MFA enabled
14.155.107.74,P-1619,NIST-CSF,FAIL,SSH root disabled
5.174.152.7,P-1620,ISO27001,FAIL,TLS>=1.2 enforced
